episode,reward,epsilon,done
0,-141.5,1.0,0
1,-179.0,0.9999,0
2,-44.0,0.9998,1
3,-34.5,0.9997,1
4,-204.0,0.9996,0
5,-70.0,0.9995,1
6,-87.0,0.9994000000000001,1
7,-128.5,0.9993000000000001,1
8,-263.0,0.9992000000000001,0
9,-44.5,0.9991000000000001,1
10,-229.0,0.9990000000000001,1
11,-41.0,0.9989000000000001,1
12,-126.5,0.9988000000000001,0
13,-137.5,0.9987000000000001,0
14,-128.5,0.9986000000000002,1
15,-215.5,0.9985000000000002,0
16,-215.5,0.9984000000000002,0
17,-220.0,0.9983000000000002,0
18,-228.5,0.9982000000000002,1
19,-222.5,0.9981000000000002,0
20,-132.0,0.9980000000000002,0
21,-82.5,0.9979000000000002,1
22,-229.0,0.9978000000000002,0
23,-186.0,0.9977000000000003,0
24,-38.5,0.9976000000000003,1
25,-143.0,0.9975000000000003,0
26,-155.0,0.9974000000000003,1
27,-183.0,0.9973000000000003,0
28,-156.0,0.9972000000000003,1
29,-126.0,0.9971000000000003,1
30,-129.5,0.9970000000000003,0
31,-261.0,0.9969000000000003,0
32,-186.0,0.9968000000000004,0
33,-122.0,0.9967000000000004,0
34,-106.0,0.9966000000000004,1
35,-220.5,0.9965000000000004,0
36,-234.5,0.9964000000000004,0
37,-153.0,0.9963000000000004,0
38,-159.5,0.9962000000000004,0
39,-163.0,0.9961000000000004,1
40,-57.0,0.9960000000000004,1
41,-143.0,0.9959000000000005,1
42,-217.5,0.9958000000000005,0
43,-165.5,0.9957000000000005,0
44,-188.0,0.9956000000000005,0
45,-36.5,0.9955000000000005,1
46,-144.5,0.9954000000000005,0
47,-39.0,0.9953000000000005,1
48,-106.5,0.9952000000000005,1
49,-124.0,0.9951000000000005,0
50,-125.5,0.9950000000000006,0
51,-108.0,0.9949000000000006,1
52,-283.5,0.9948000000000006,0
53,-251.0,0.9947000000000006,0
54,-145.5,0.9946000000000006,0
55,-139.5,0.9945000000000006,0
56,-38.0,0.9944000000000006,1
57,-220.5,0.9943000000000006,0
58,-152.5,0.9942000000000006,0
59,-261.5,0.9941000000000006,0
60,-167.5,0.9940000000000007,0
61,-160.0,0.9939000000000007,0
62,-97.0,0.9938000000000007,1
63,-86.5,0.9937000000000007,1
64,-130.0,0.9936000000000007,1
65,-83.0,0.9935000000000007,1
66,-248.5,0.9934000000000007,0
67,-53.0,0.9933000000000007,1
68,-204.0,0.9932000000000007,0
69,-207.0,0.9931000000000008,0
70,-224.0,0.9930000000000008,1
71,-29.5,0.9929000000000008,1
72,-45.5,0.9928000000000008,1
73,-77.0,0.9927000000000008,1
74,-161.0,0.9926000000000008,1
75,-168.0,0.9925000000000008,0
76,-95.0,0.9924000000000008,1
77,-134.5,0.9923000000000008,1
78,-255.0,0.9922000000000009,1
79,-195.5,0.9921000000000009,0
80,-84.0,0.9920000000000009,1
81,-121.0,0.9919000000000009,0
82,-319.0,0.9918000000000009,0
83,-60.0,0.9917000000000009,1
84,-129.5,0.9916000000000009,1
85,-88.5,0.9915000000000009,1
86,-110.0,0.991400000000001,1
87,-122.5,0.991300000000001,1
88,-257.5,0.991200000000001,0
89,-177.0,0.991100000000001,0
90,-115.0,0.991000000000001,1
91,-33.0,0.990900000000001,1
92,-186.5,0.990800000000001,0
93,-298.0,0.990700000000001,0
94,-108.0,0.990600000000001,1
95,-97.0,0.990500000000001,1
96,-335.5,0.9904000000000011,0
97,-86.0,0.9903000000000011,1
98,-194.5,0.9902000000000011,0
99,-246.0,0.9901000000000011,0
100,-182.5,0.9900000000000011,0
101,-44.5,0.9899000000000011,1
102,-161.5,0.9898000000000011,0
103,-159.5,0.9897000000000011,0
104,-303.5,0.9896000000000011,0
105,-77.5,0.9895000000000012,1
106,-68.0,0.9894000000000012,1
107,-258.5,0.9893000000000012,0
108,-200.5,0.9892000000000012,1
109,-63.5,0.9891000000000012,1
110,-154.5,0.9890000000000012,1
