episode,reward,epsilon,done
0,-143.0,1.0,0
1,-135.0,0.9999,0
2,-201.0,0.9998,0
3,-130.5,0.9997,0
4,-179.0,0.9996,1
5,-108.5,0.9995,1
6,-128.0,0.9994000000000001,0
7,-178.5,0.9993000000000001,1
8,-154.5,0.9992000000000001,0
9,-297.0,0.9991000000000001,0
10,-181.0,0.9990000000000001,1
11,-132.0,0.9989000000000001,0
12,-142.5,0.9988000000000001,0
13,-159.0,0.9987000000000001,0
14,-132.0,0.9986000000000002,0
15,-145.0,0.9985000000000002,1
16,-152.5,0.9984000000000002,0
17,-10.0,0.9983000000000002,1
18,-214.5,0.9982000000000002,0
19,-297.0,0.9981000000000002,0
20,-256.0,0.9980000000000002,0
21,-254.0,0.9979000000000002,0
22,-33.0,0.9978000000000002,1
23,-175.0,0.9977000000000003,0
24,-81.0,0.9976000000000003,1
25,-116.0,0.9975000000000003,1
26,-220.5,0.9974000000000003,0
27,-51.5,0.9973000000000003,1
28,-179.5,0.9972000000000003,0
29,-151.5,0.9971000000000003,0
30,-133.0,0.9970000000000003,1
31,-198.0,0.9969000000000003,0
32,-123.5,0.9968000000000004,0
33,-199.5,0.9967000000000004,1
34,-69.5,0.9966000000000004,1
35,-153.5,0.9965000000000004,1
36,-18.0,0.9964000000000004,1
37,-110.0,0.9963000000000004,1
38,-263.0,0.9962000000000004,0
39,-138.5,0.9961000000000004,0
40,-93.5,0.9960000000000004,1
41,-194.5,0.9959000000000005,0
42,-244.5,0.9958000000000005,0
43,-86.0,0.9957000000000005,1
44,-55.0,0.9956000000000005,1
45,-3.5,0.9955000000000005,1
46,-224.0,0.9954000000000005,0
47,-137.0,0.9953000000000005,1
48,-215.0,0.9952000000000005,1
49,-172.0,0.9951000000000005,1
50,-195.0,0.9950000000000006,0
51,-49.5,0.9949000000000006,1
52,-23.5,0.9948000000000006,1
53,-125.0,0.9947000000000006,0
54,-187.5,0.9946000000000006,0
55,-55.5,0.9945000000000006,1
56,-176.5,0.9944000000000006,0
57,-238.5,0.9943000000000006,0
58,-40.5,0.9942000000000006,1
59,-99.5,0.9941000000000006,1
60,-167.0,0.9940000000000007,0
61,-65.0,0.9939000000000007,1
62,-19.0,0.9938000000000007,1
63,-158.5,0.9937000000000007,1
64,-18.5,0.9936000000000007,1
65,-134.0,0.9935000000000007,0
66,-150.0,0.9934000000000007,1
67,-228.0,0.9933000000000007,1
68,-91.5,0.9932000000000007,1
69,-238.5,0.9931000000000008,1
70,-248.5,0.9930000000000008,0
71,-108.0,0.9929000000000008,1
72,-199.0,0.9928000000000008,0
73,-266.5,0.9927000000000008,0
74,-65.5,0.9926000000000008,1
75,-159.5,0.9925000000000008,0
76,-141.0,0.9924000000000008,1
77,-145.0,0.9923000000000008,1
78,-146.5,0.9922000000000009,1
79,-131.0,0.9921000000000009,0
80,-142.0,0.9920000000000009,0
81,-52.0,0.9919000000000009,1
82,-189.0,0.9918000000000009,0
83,-228.0,0.9917000000000009,0
84,-208.0,0.9916000000000009,0
85,-169.0,0.9915000000000009,0
86,-160.0,0.991400000000001,1
87,-168.0,0.991300000000001,0
88,-190.5,0.991200000000001,0
89,-152.5,0.991100000000001,1
90,-145.5,0.991000000000001,1
91,-35.0,0.990900000000001,1
92,-163.5,0.990800000000001,1
93,-208.0,0.990700000000001,0
94,-184.0,0.990600000000001,0
95,-55.5,0.990500000000001,1
96,-206.5,0.9904000000000011,0
97,-116.5,0.9903000000000011,1
98,-92.5,0.9902000000000011,1
99,-53.5,0.9901000000000011,1
100,-53.5,0.9900000000000011,1
101,-107.5,0.9899000000000011,1
102,-62.5,0.9898000000000011,1
103,-207.5,0.9897000000000011,1
104,-143.5,0.9896000000000011,1
105,-101.0,0.9895000000000012,1
106,-144.5,0.9894000000000012,1
107,-89.0,0.9893000000000012,1
108,-195.5,0.9892000000000012,1
109,-214.0,0.9891000000000012,0
110,-229.5,0.9890000000000012,0
111,-188.0,0.9889000000000012,0
112,-178.0,0.9888000000000012,1
113,-268.5,0.9887000000000012,0
114,-228.0,0.9886000000000013,0
115,-166.0,0.9885000000000013,1
116,-26.5,0.9884000000000013,1
117,-18.5,0.9883000000000013,1
118,-168.5,0.9882000000000013,0
119,-30.5,0.9881000000000013,1
120,-164.5,0.9880000000000013,0
121,-150.0,0.9879000000000013,1
122,-212.5,0.9878000000000013,0
123,-154.0,0.9877000000000014,0
124,-43.5,0.9876000000000014,1
125,-44.5,0.9875000000000014,1
126,-129.0,0.9874000000000014,0
127,-113.0,0.9873000000000014,0
128,-174.0,0.9872000000000014,0
129,-136.5,0.9871000000000014,0
130,-64.0,0.9870000000000014,1
131,-147.5,0.9869000000000014,0
132,-52.0,0.9868000000000015,1
133,-69.5,0.9867000000000015,1
134,-24.5,0.9866000000000015,1
135,-33.0,0.9865000000000015,1
136,-120.5,0.9864000000000015,0
137,-65.5,0.9863000000000015,1
138,-228.0,0.9862000000000015,0
139,-87.0,0.9861000000000015,1
140,-84.5,0.9860000000000015,1
141,-43.0,0.9859000000000016,1
142,-164.0,0.9858000000000016,1
143,-169.5,0.9857000000000016,0
144,-94.5,0.9856000000000016,1
145,-258.5,0.9855000000000016,0
146,-127.0,0.9854000000000016,0
147,-198.0,0.9853000000000016,0
148,-107.5,0.9852000000000016,1
149,-137.0,0.9851000000000016,1
150,-157.0,0.9850000000000017,1
151,-243.0,0.9849000000000017,0
152,-172.5,0.9848000000000017,0
153,-131.5,0.9847000000000017,0
154,-41.5,0.9846000000000017,1
155,-191.0,0.9845000000000017,0
156,-137.0,0.9844000000000017,0
157,-124.5,0.9843000000000017,0
158,-128.0,0.9842000000000017,0
159,-139.5,0.9841000000000018,0
160,-122.0,0.9840000000000018,0
161,-126.0,0.9839000000000018,0
162,-119.0,0.9838000000000018,0
163,-150.0,0.9837000000000018,1
164,-212.0,0.9836000000000018,0
165,-160.0,0.9835000000000018,0
166,-168.0,0.9834000000000018,0
167,-49.5,0.9833000000000018,1
168,-151.5,0.9832000000000019,0
169,-156.5,0.9831000000000019,0
170,-248.0,0.9830000000000019,0
171,-106.0,0.9829000000000019,1
172,-120.0,0.9828000000000019,0
173,-126.5,0.9827000000000019,0
174,-120.0,0.9826000000000019,0
175,-27.5,0.9825000000000019,1
176,-223.5,0.9824000000000019,0
177,-32.5,0.982300000000002,1
178,-17.0,0.982200000000002,1
179,-293.5,0.982100000000002,0
180,-157.0,0.982000000000002,0
181,-204.0,0.981900000000002,0
182,-132.0,0.981800000000002,1
183,-122.0,0.981700000000002,0
184,-59.5,0.981600000000002,1
185,-158.5,0.981500000000002,0
186,-55.0,0.981400000000002,1
187,-126.5,0.9813000000000021,0
188,-83.0,0.9812000000000021,1
189,-176.5,0.9811000000000021,0
190,-121.0,0.9810000000000021,0
191,-151.0,0.9809000000000021,0
192,-125.0,0.9808000000000021,1
193,-130.0,0.9807000000000021,0
194,-72.5,0.9806000000000021,1
195,-161.0,0.9805000000000021,1
196,-189.0,0.9804000000000022,0
197,-115.0,0.9803000000000022,1
198,-144.5,0.9802000000000022,0
199,-46.5,0.9801000000000022,1
200,-181.0,0.9800000000000022,0
201,-61.5,0.9799000000000022,1
202,-168.0,0.9798000000000022,0
203,-162.5,0.9797000000000022,0
204,-140.0,0.9796000000000022,0
205,-174.0,0.9795000000000023,0
206,-59.5,0.9794000000000023,1
207,-80.0,0.9793000000000023,1
208,-159.0,0.9792000000000023,0
209,-184.0,0.9791000000000023,0
210,-143.0,0.9790000000000023,0
211,-84.5,0.9789000000000023,1
212,-138.0,0.9788000000000023,0
213,-153.5,0.9787000000000023,0
214,-46.5,0.9786000000000024,1
215,-121.5,0.9785000000000024,0
216,-148.5,0.9784000000000024,1
217,-38.0,0.9783000000000024,1
218,-153.5,0.9782000000000024,0
219,-134.0,0.9781000000000024,0
220,-119.0,0.9780000000000024,1
221,-129.5,0.9779000000000024,0
222,-177.5,0.9778000000000024,0
223,-215.5,0.9777000000000025,0
224,-132.0,0.9776000000000025,0
225,-167.0,0.9775000000000025,0
226,-122.0,0.9774000000000025,0
227,-119.0,0.9773000000000025,0
228,-68.5,0.9772000000000025,1
229,-121.5,0.9771000000000025,1
230,-129.0,0.9770000000000025,0
231,-214.0,0.9769000000000025,0
232,-128.0,0.9768000000000026,0
233,-36.0,0.9767000000000026,1
234,-141.5,0.9766000000000026,0
235,-119.5,0.9765000000000026,0
236,-223.5,0.9764000000000026,0
237,-93.5,0.9763000000000026,1
238,-137.0,0.9762000000000026,0
239,-150.5,0.9761000000000026,0
240,-177.5,0.9760000000000026,0
241,-96.0,0.9759000000000027,1
242,-80.0,0.9758000000000027,1
243,-129.0,0.9757000000000027,0
244,-119.5,0.9756000000000027,0
245,-123.5,0.9755000000000027,0
246,-174.0,0.9754000000000027,0
247,-197.0,0.9753000000000027,0
248,-193.5,0.9752000000000027,0
249,-126.5,0.9751000000000027,0
250,-133.5,0.9750000000000028,0
251,-156.5,0.9749000000000028,0
252,-144.0,0.9748000000000028,0
253,-132.5,0.9747000000000028,0
254,-213.5,0.9746000000000028,0
255,-172.0,0.9745000000000028,0
256,-177.0,0.9744000000000028,0
257,-177.0,0.9743000000000028,0
258,-202.5,0.9742000000000028,0
259,-56.5,0.9741000000000029,1
260,-213.5,0.9740000000000029,0
261,-132.0,0.9739000000000029,1
262,-176.0,0.9738000000000029,0
263,-108.0,0.9737000000000029,1
264,-153.0,0.9736000000000029,0
265,-138.0,0.9735000000000029,0
266,-13.5,0.9734000000000029,1
267,-133.5,0.9733000000000029,0
268,-77.5,0.973200000000003,1
269,-41.5,0.973100000000003,1
270,-201.0,0.973000000000003,0
271,-38.0,0.972900000000003,1
272,-172.5,0.972800000000003,0
273,-175.0,0.972700000000003,1
274,-118.5,0.972600000000003,1
275,-148.5,0.972500000000003,1
276,-125.0,0.972400000000003,0
277,-138.5,0.972300000000003,0
278,-167.5,0.9722000000000031,0
279,-201.5,0.9721000000000031,0
280,-93.5,0.9720000000000031,1
281,-226.5,0.9719000000000031,0
282,-169.5,0.9718000000000031,0
283,-56.0,0.9717000000000031,1
284,-166.0,0.9716000000000031,0
285,-148.0,0.9715000000000031,1
286,-74.0,0.9714000000000031,1
287,-134.5,0.9713000000000032,1
288,-120.0,0.9712000000000032,1
289,-66.0,0.9711000000000032,1
290,-138.0,0.9710000000000032,0
291,-121.5,0.9709000000000032,0
292,-41.0,0.9708000000000032,1
293,-85.0,0.9707000000000032,1
294,-202.0,0.9706000000000032,0
295,-59.5,0.9705000000000032,1
296,-82.5,0.9704000000000033,1
297,-126.0,0.9703000000000033,0
298,-150.0,0.9702000000000033,0
299,-204.0,0.9701000000000033,0
300,-93.0,0.9700000000000033,1
301,-157.0,0.9699000000000033,0
302,-108.0,0.9698000000000033,1
303,-145.5,0.9697000000000033,0
304,-174.5,0.9696000000000033,1
305,-93.0,0.9695000000000034,1
306,-135.0,0.9694000000000034,0
307,-120.0,0.9693000000000034,0
308,-178.5,0.9692000000000034,1
309,-192.5,0.9691000000000034,0
310,-116.5,0.9690000000000034,1
311,-86.5,0.9689000000000034,1
312,-61.5,0.9688000000000034,1
313,-63.5,0.9687000000000034,1
314,-161.0,0.9686000000000035,0
315,-133.0,0.9685000000000035,0
316,-240.5,0.9684000000000035,0
317,-70.5,0.9683000000000035,1
318,-25.5,0.9682000000000035,1
319,-150.0,0.9681000000000035,0
320,-111.5,0.9680000000000035,0
321,-193.0,0.9679000000000035,1
322,-54.0,0.9678000000000035,1
323,-43.5,0.9677000000000036,1
324,-157.5,0.9676000000000036,1
325,-161.5,0.9675000000000036,0
326,-3.5,0.9674000000000036,1
327,-120.0,0.9673000000000036,0
328,-177.0,0.9672000000000036,0
329,-124.0,0.9671000000000036,0
330,-144.0,0.9670000000000036,0
331,-127.5,0.9669000000000036,0
332,-176.0,0.9668000000000037,0
333,-136.0,0.9667000000000037,0
334,-94.5,0.9666000000000037,1
335,-120.0,0.9665000000000037,0
336,-161.0,0.9664000000000037,1
337,-122.5,0.9663000000000037,0
338,-136.5,0.9662000000000037,1
339,-171.0,0.9661000000000037,0
340,-140.5,0.9660000000000037,1
341,-123.0,0.9659000000000038,0
342,-126.5,0.9658000000000038,0
343,-49.5,0.9657000000000038,1
344,-73.0,0.9656000000000038,1
345,-97.0,0.9655000000000038,1
346,-127.0,0.9654000000000038,0
347,-145.5,0.9653000000000038,0
348,-141.0,0.9652000000000038,0
349,-138.5,0.9651000000000038,0
350,-103.0,0.9650000000000039,1
351,-148.0,0.9649000000000039,1
352,-223.5,0.9648000000000039,0
353,-180.0,0.9647000000000039,1
354,-139.5,0.9646000000000039,0
355,-125.0,0.9645000000000039,0
356,-228.0,0.9644000000000039,0
357,-139.0,0.9643000000000039,0
358,-132.0,0.9642000000000039,0
359,-68.5,0.964100000000004,1
360,-139.0,0.964000000000004,0
361,-99.0,0.963900000000004,1
362,-116.0,0.963800000000004,0
363,-135.0,0.963700000000004,1
364,-163.5,0.963600000000004,0
365,-242.0,0.963500000000004,0
366,-127.5,0.963400000000004,0
367,-118.0,0.963300000000004,1
368,-155.5,0.963200000000004,0
369,-122.0,0.9631000000000041,0
370,-124.0,0.9630000000000041,0
371,-45.0,0.9629000000000041,1
372,-189.5,0.9628000000000041,0
373,-182.0,0.9627000000000041,0
374,-45.5,0.9626000000000041,1
375,-142.5,0.9625000000000041,0
376,-139.0,0.9624000000000041,0
377,-92.0,0.9623000000000042,1
378,-164.0,0.9622000000000042,0
379,-65.5,0.9621000000000042,1
380,-78.0,0.9620000000000042,1
381,-36.0,0.9619000000000042,1
382,-97.5,0.9618000000000042,1
383,-122.5,0.9617000000000042,1
384,-108.0,0.9616000000000042,1
385,-149.5,0.9615000000000042,0
386,-149.0,0.9614000000000043,0
387,-127.0,0.9613000000000043,0
388,-149.0,0.9612000000000043,0
389,-139.5,0.9611000000000043,0
390,-84.0,0.9610000000000043,1
391,-54.0,0.9609000000000043,1
392,-81.0,0.9608000000000043,1
393,-152.5,0.9607000000000043,0
394,-117.0,0.9606000000000043,1
395,-113.0,0.9605000000000044,0
396,-69.5,0.9604000000000044,1
397,-225.0,0.9603000000000044,0
398,-65.5,0.9602000000000044,1
399,-114.0,0.9601000000000044,0
400,-148.0,0.9600000000000044,1
401,-42.0,0.9599000000000044,1
402,-120.5,0.9598000000000044,0
403,-164.5,0.9597000000000044,1
404,-119.5,0.9596000000000044,0
405,-160.5,0.9595000000000045,1
406,-71.0,0.9594000000000045,1
407,-94.5,0.9593000000000045,1
408,-113.0,0.9592000000000045,0
409,-75.0,0.9591000000000045,1
410,-51.5,0.9590000000000045,1
411,-147.0,0.9589000000000045,1
412,-58.0,0.9588000000000045,1
413,-24.5,0.9587000000000045,1
414,-150.0,0.9586000000000046,0
415,-163.5,0.9585000000000046,0
416,-169.0,0.9584000000000046,0
417,-120.5,0.9583000000000046,0
418,-140.5,0.9582000000000046,0
419,-36.0,0.9581000000000046,1
420,-125.5,0.9580000000000046,0
421,-111.5,0.9579000000000046,0
422,-117.5,0.9578000000000046,0
423,-201.5,0.9577000000000047,0
424,-115.5,0.9576000000000047,0
425,-175.0,0.9575000000000047,0
426,-59.5,0.9574000000000047,1
427,-80.5,0.9573000000000047,1
428,-186.0,0.9572000000000047,0
429,-146.5,0.9571000000000047,1
430,-103.0,0.9570000000000047,1
431,-99.0,0.9569000000000047,1
432,-123.5,0.9568000000000048,0
433,-117.5,0.9567000000000048,0
434,-26.0,0.9566000000000048,1
435,-148.0,0.9565000000000048,0
436,-90.5,0.9564000000000048,1
437,-71.0,0.9563000000000048,1
438,-69.0,0.9562000000000048,1
439,-161.5,0.9561000000000048,1
440,-156.0,0.9560000000000048,0
441,-59.0,0.9559000000000049,1
442,-49.5,0.9558000000000049,1
443,-154.0,0.9557000000000049,0
444,-61.5,0.9556000000000049,1
445,-120.5,0.9555000000000049,0
446,-119.5,0.9554000000000049,1
447,-15.5,0.9553000000000049,1
448,-52.5,0.9552000000000049,1
449,-85.0,0.955100000000005,1
450,-18.5,0.955000000000005,1
451,-136.0,0.954900000000005,1
452,-33.5,0.954800000000005,1
453,-19.0,0.954700000000005,1
454,-91.0,0.954600000000005,1
455,-115.5,0.954500000000005,0
456,-29.5,0.954400000000005,1
457,-151.0,0.954300000000005,0
458,-142.5,0.954200000000005,0
459,-123.5,0.954100000000005,0
460,-152.0,0.9540000000000051,0
461,-192.0,0.9539000000000051,0
462,-134.5,0.9538000000000051,0
463,-127.5,0.9537000000000051,0
464,-125.0,0.9536000000000051,0
465,-4.0,0.9535000000000051,1
466,-33.5,0.9534000000000051,1
467,-238.5,0.9533000000000051,0
468,-54.0,0.9532000000000052,1
469,-159.0,0.9531000000000052,0
470,-163.5,0.9530000000000052,0
471,-24.5,0.9529000000000052,1
472,-81.0,0.9528000000000052,1
473,-196.0,0.9527000000000052,0
474,-215.0,0.9526000000000052,0
475,-111.5,0.9525000000000052,0
476,-49.5,0.9524000000000052,1
477,-87.5,0.9523000000000053,1
478,-156.5,0.9522000000000053,0
479,-108.5,0.9521000000000053,0
480,-118.0,0.9520000000000053,0
481,-91.5,0.9519000000000053,1
482,-107.5,0.9518000000000053,1
483,-127.5,0.9517000000000053,0
484,-246.0,0.9516000000000053,0
485,-148.5,0.9515000000000053,0
486,-113.0,0.9514000000000054,1
487,-103.5,0.9513000000000054,1
488,-148.0,0.9512000000000054,0
489,-62.0,0.9511000000000054,1
490,-127.0,0.9510000000000054,0
491,-120.0,0.9509000000000054,0
492,-159.0,0.9508000000000054,0
493,-186.0,0.9507000000000054,0
494,-120.5,0.9506000000000054,0
495,-150.5,0.9505000000000055,0
496,-123.0,0.9504000000000055,0
497,-193.5,0.9503000000000055,1
498,-101.0,0.9502000000000055,1
499,-82.5,0.9501000000000055,1
500,-129.0,0.9500000000000055,0
501,-142.5,0.9499000000000055,1
502,-135.5,0.9498000000000055,0
503,-128.5,0.9497000000000055,0
504,-141.0,0.9496000000000056,0
505,-143.5,0.9495000000000056,0
506,-9.0,0.9494000000000056,1
507,-129.5,0.9493000000000056,1
508,-127.5,0.9492000000000056,1
509,-138.0,0.9491000000000056,1
510,-142.5,0.9490000000000056,1
511,-191.5,0.9489000000000056,0
512,-133.5,0.9488000000000056,0
513,-135.5,0.9487000000000056,1
514,-122.5,0.9486000000000057,0
515,-98.5,0.9485000000000057,1
516,-95.0,0.9484000000000057,1
517,-117.0,0.9483000000000057,0
518,-21.0,0.9482000000000057,1
519,-133.0,0.9481000000000057,0
520,-114.5,0.9480000000000057,1
521,-40.5,0.9479000000000057,1
522,-147.0,0.9478000000000057,0
523,-189.0,0.9477000000000058,0
524,-26.5,0.9476000000000058,1
525,-114.0,0.9475000000000058,1
526,-144.0,0.9474000000000058,1
527,-64.5,0.9473000000000058,1
528,-103.0,0.9472000000000058,1
529,-35.5,0.9471000000000058,1
530,-172.0,0.9470000000000058,0
531,-51.0,0.9469000000000058,1
532,-165.0,0.9468000000000059,1
533,-136.5,0.9467000000000059,1
534,-82.0,0.9466000000000059,1
535,-174.0,0.9465000000000059,0
536,-140.0,0.9464000000000059,0
537,-83.0,0.9463000000000059,1
538,-107.0,0.9462000000000059,0
539,-53.5,0.9461000000000059,1
540,-33.5,0.946000000000006,1
541,-125.5,0.945900000000006,0
542,-154.0,0.945800000000006,0
543,-124.5,0.945700000000006,0
544,-60.5,0.945600000000006,1
545,-135.5,0.945500000000006,0
546,-124.5,0.945400000000006,1
547,-207.5,0.945300000000006,0
548,-84.0,0.945200000000006,1
549,-117.5,0.945100000000006,0
550,-139.0,0.9450000000000061,0
551,-67.5,0.9449000000000061,1
552,-55.5,0.9448000000000061,1
553,-91.0,0.9447000000000061,1
554,-133.5,0.9446000000000061,0
555,-117.5,0.9445000000000061,0
556,-41.0,0.9444000000000061,1
557,-52.0,0.9443000000000061,1
558,-116.0,0.9442000000000061,0
559,-170.5,0.9441000000000062,0
560,-124.0,0.9440000000000062,0
561,-50.0,0.9439000000000062,1
562,-109.5,0.9438000000000062,0
563,-117.0,0.9437000000000062,0
564,-31.5,0.9436000000000062,1
565,-115.0,0.9435000000000062,0
566,-156.0,0.9434000000000062,0
567,-19.0,0.9433000000000062,1
568,-110.5,0.9432000000000063,0
569,-36.0,0.9431000000000063,1
570,-81.0,0.9430000000000063,1
571,-29.5,0.9429000000000063,1
572,-131.5,0.9428000000000063,0
573,-132.5,0.9427000000000063,0
574,-172.0,0.9426000000000063,0
575,-118.5,0.9425000000000063,1
576,-34.0,0.9424000000000063,1
577,-117.5,0.9423000000000064,1
578,-9.0,0.9422000000000064,1
579,-166.5,0.9421000000000064,0
