episode,reward,epsilon,done
0,-170.5,1.0,0
1,-217.0,0.9999,0
2,-93.0,0.9998,1
3,-86.0,0.9997,1
4,-129.5,0.9996,0
5,-47.0,0.9995,1
6,-94.0,0.9994000000000001,1
7,-114.5,0.9993000000000001,1
8,-124.5,0.9992000000000001,1
9,-164.0,0.9991000000000001,0
10,-39.5,0.9990000000000001,1
11,-136.0,0.9989000000000001,0
12,-130.0,0.9988000000000001,0
13,-144.0,0.9987000000000001,0
14,-13.0,0.9986000000000002,1
15,-210.0,0.9985000000000002,1
16,-68.5,0.9984000000000002,1
17,-99.5,0.9983000000000002,1
18,-197.0,0.9982000000000002,0
19,-41.0,0.9981000000000002,1
20,-184.0,0.9980000000000002,1
21,-85.0,0.9979000000000002,1
22,-206.0,0.9978000000000002,1
23,-208.5,0.9977000000000003,0
24,-93.0,0.9976000000000003,1
25,-252.5,0.9975000000000003,0
26,-114.5,0.9974000000000003,1
27,-203.0,0.9973000000000003,1
28,-47.0,0.9972000000000003,1
29,-179.0,0.9971000000000003,0
30,-84.5,0.9970000000000003,1
31,-159.5,0.9969000000000003,0
32,-189.0,0.9968000000000004,0
33,-151.5,0.9967000000000004,0
34,-224.0,0.9966000000000004,0
35,-127.5,0.9965000000000004,1
36,-192.5,0.9964000000000004,0
37,-70.0,0.9963000000000004,1
38,-150.0,0.9962000000000004,1
39,-213.0,0.9961000000000004,1
40,-125.5,0.9960000000000004,1
41,-177.5,0.9959000000000005,0
42,-246.0,0.9958000000000005,0
43,-247.0,0.9957000000000005,0
44,-207.0,0.9956000000000005,0
45,-174.0,0.9955000000000005,0
46,-124.5,0.9954000000000005,0
47,-160.0,0.9953000000000005,0
48,-23.0,0.9952000000000005,1
49,-126.5,0.9951000000000005,1
50,-119.5,0.9950000000000006,0
51,-127.5,0.9949000000000006,0
52,-117.5,0.9948000000000006,0
53,-121.0,0.9947000000000006,0
54,-214.0,0.9946000000000006,0
55,-195.0,0.9945000000000006,0
56,-152.0,0.9944000000000006,0
57,-154.0,0.9943000000000006,0
58,-138.5,0.9942000000000006,1
59,-139.0,0.9941000000000006,0
60,-203.5,0.9940000000000007,0
61,-161.0,0.9939000000000007,0
62,-105.5,0.9938000000000007,1
63,-147.5,0.9937000000000007,0
64,-39.0,0.9936000000000007,1
65,-172.0,0.9935000000000007,0
66,-263.0,0.9934000000000007,0
67,-184.0,0.9933000000000007,1
68,-132.0,0.9932000000000007,1
69,-227.5,0.9931000000000008,0
70,-192.5,0.9930000000000008,0
71,-102.0,0.9929000000000008,1
72,-33.0,0.9928000000000008,1
73,-281.0,0.9927000000000008,0
74,-163.0,0.9926000000000008,1
75,-115.0,0.9925000000000008,1
76,-209.5,0.9924000000000008,0
77,-171.5,0.9923000000000008,0
78,-191.0,0.9922000000000009,0
79,-143.5,0.9921000000000009,0
80,-190.0,0.9920000000000009,1
81,-155.5,0.9919000000000009,0
82,-258.5,0.9918000000000009,0
83,-202.0,0.9917000000000009,0
84,-71.0,0.9916000000000009,1
85,-141.0,0.9915000000000009,1
86,-152.5,0.991400000000001,0
87,-291.5,0.991300000000001,0
88,-156.0,0.991200000000001,1
89,-172.5,0.991100000000001,0
90,-161.5,0.991000000000001,0
91,-126.0,0.990900000000001,0
92,-127.0,0.990800000000001,0
93,-147.0,0.990700000000001,0
94,-198.5,0.990600000000001,0
95,-142.5,0.990500000000001,0
96,-137.5,0.9904000000000011,0
97,-183.5,0.9903000000000011,0
98,-334.5,0.9902000000000011,0
99,-279.0,0.9901000000000011,0
100,-55.5,0.9900000000000011,1
101,-243.5,0.9899000000000011,0
102,-227.5,0.9898000000000011,1
103,-122.5,0.9897000000000011,0
104,-128.0,0.9896000000000011,0
105,-142.5,0.9895000000000012,1
106,-76.0,0.9894000000000012,1
107,-66.0,0.9893000000000012,1
108,-163.5,0.9892000000000012,0
109,-192.5,0.9891000000000012,1
110,-188.0,0.9890000000000012,1
111,-146.0,0.9889000000000012,1
112,-146.0,0.9888000000000012,1
113,-129.5,0.9887000000000012,1
114,-78.5,0.9886000000000013,1
115,-72.0,0.9885000000000013,1
116,-119.0,0.9884000000000013,1
117,-75.5,0.9883000000000013,1
118,-103.5,0.9882000000000013,1
119,-167.5,0.9881000000000013,0
120,-32.0,0.9880000000000013,1
121,-233.5,0.9879000000000013,0
122,-127.5,0.9878000000000013,0
123,-174.5,0.9877000000000014,0
124,-234.5,0.9876000000000014,0
125,-252.0,0.9875000000000014,0
126,-129.0,0.9874000000000014,0
127,-279.0,0.9873000000000014,0
128,-214.0,0.9872000000000014,0
129,-143.5,0.9871000000000014,0
130,-77.5,0.9870000000000014,1
131,-208.5,0.9869000000000014,1
132,-142.5,0.9868000000000015,1
133,-51.0,0.9867000000000015,1
134,-119.0,0.9866000000000015,0
135,-244.0,0.9865000000000015,0
136,-16.0,0.9864000000000015,1
137,-123.5,0.9863000000000015,0
138,-187.0,0.9862000000000015,0
139,-131.0,0.9861000000000015,0
140,-155.5,0.9860000000000015,0
141,-159.5,0.9859000000000016,0
142,-103.0,0.9858000000000016,1
143,-57.0,0.9857000000000016,1
144,-178.0,0.9856000000000016,0
145,-130.0,0.9855000000000016,0
146,-228.5,0.9854000000000016,0
147,-119.0,0.9853000000000016,0
148,-126.5,0.9852000000000016,0
149,-301.0,0.9851000000000016,0
150,-116.0,0.9850000000000017,0
151,-37.0,0.9849000000000017,1
152,-223.5,0.9848000000000017,0
153,-133.5,0.9847000000000017,0
154,-234.0,0.9846000000000017,0
155,-16.5,0.9845000000000017,1
156,-137.5,0.9844000000000017,1
157,-169.5,0.9843000000000017,0
158,-183.0,0.9842000000000017,1
159,-238.0,0.9841000000000018,0
160,-181.0,0.9840000000000018,0
161,-215.5,0.9839000000000018,0
162,-200.5,0.9838000000000018,0
163,-168.5,0.9837000000000018,0
164,-156.5,0.9836000000000018,0
165,-168.5,0.9835000000000018,0
166,-130.5,0.9834000000000018,0
167,-77.0,0.9833000000000018,1
168,-104.5,0.9832000000000019,1
169,-31.5,0.9831000000000019,1
170,-23.0,0.9830000000000019,1
171,-149.5,0.9829000000000019,0
172,-150.5,0.9828000000000019,1
173,-162.0,0.9827000000000019,0
174,-249.0,0.9826000000000019,1
175,-131.0,0.9825000000000019,0
176,-130.0,0.9824000000000019,1
177,-148.5,0.982300000000002,0
178,-206.5,0.982200000000002,0
179,-208.5,0.982100000000002,0
180,-142.5,0.982000000000002,0
181,-242.5,0.981900000000002,0
182,-13.0,0.981800000000002,1
183,-83.0,0.981700000000002,1
184,-88.0,0.981600000000002,1
185,-66.0,0.981500000000002,1
186,-119.5,0.981400000000002,0
187,-152.0,0.9813000000000021,0
188,-186.0,0.9812000000000021,0
189,-115.0,0.9811000000000021,0
190,-116.5,0.9810000000000021,1
191,-147.0,0.9809000000000021,0
192,-153.5,0.9808000000000021,0
193,-143.5,0.9807000000000021,0
194,-132.0,0.9806000000000021,1
195,-68.0,0.9805000000000021,1
196,-52.5,0.9804000000000022,1
197,-190.0,0.9803000000000022,0
198,-190.5,0.9802000000000022,0
199,-153.5,0.9801000000000022,0
200,-139.5,0.9800000000000022,0
201,-37.5,0.9799000000000022,1
202,-241.0,0.9798000000000022,0
203,-6.0,0.9797000000000022,1
204,-174.5,0.9796000000000022,1
205,-156.0,0.9795000000000023,0
206,-167.0,0.9794000000000023,1
207,-27.0,0.9793000000000023,1
208,-118.0,0.9792000000000023,0
209,-175.0,0.9791000000000023,0
210,-144.0,0.9790000000000023,0
211,-116.5,0.9789000000000023,0
212,-153.5,0.9788000000000023,0
213,-120.5,0.9787000000000023,0
214,-125.0,0.9786000000000024,0
215,-178.5,0.9785000000000024,1
216,-144.0,0.9784000000000024,0
217,-122.0,0.9783000000000024,0
218,-128.5,0.9782000000000024,0
219,-18.5,0.9781000000000024,1
220,-124.5,0.9780000000000024,0
221,-175.5,0.9779000000000024,0
222,-139.0,0.9778000000000024,1
223,-50.0,0.9777000000000025,1
224,-147.0,0.9776000000000025,0
225,-152.5,0.9775000000000025,0
226,-123.0,0.9774000000000025,0
227,-104.0,0.9773000000000025,1
228,-119.5,0.9772000000000025,0
229,-147.0,0.9771000000000025,0
230,-160.0,0.9770000000000025,0
231,-112.0,0.9769000000000025,0
232,-113.5,0.9768000000000026,0
233,-69.0,0.9767000000000026,1
234,-188.0,0.9766000000000026,0
235,-124.0,0.9765000000000026,1
236,-122.0,0.9764000000000026,0
237,-125.0,0.9763000000000026,1
238,-192.5,0.9762000000000026,1
239,-97.0,0.9761000000000026,1
240,-46.5,0.9760000000000026,1
241,-121.5,0.9759000000000027,1
242,-167.5,0.9758000000000027,1
243,-142.5,0.9757000000000027,1
244,-52.5,0.9756000000000027,1
245,-157.5,0.9755000000000027,0
246,-148.0,0.9754000000000027,0
247,-82.5,0.9753000000000027,1
248,-165.0,0.9752000000000027,0
249,-135.5,0.9751000000000027,0
250,-230.0,0.9750000000000028,0
251,-130.0,0.9749000000000028,0
252,-287.0,0.9748000000000028,0
253,-132.5,0.9747000000000028,0
254,-119.0,0.9746000000000028,0
255,-117.5,0.9745000000000028,1
256,-146.5,0.9744000000000028,0
257,-128.0,0.9743000000000028,0
258,-177.5,0.9742000000000028,0
259,-160.5,0.9741000000000029,1
260,-122.5,0.9740000000000029,0
261,-146.5,0.9739000000000029,0
262,-86.0,0.9738000000000029,1
263,-104.5,0.9737000000000029,1
264,-169.0,0.9736000000000029,0
265,-120.0,0.9735000000000029,0
266,-152.0,0.9734000000000029,0
267,-83.5,0.9733000000000029,1
268,-125.5,0.973200000000003,0
269,-109.0,0.973100000000003,1
270,-14.5,0.973000000000003,1
271,-80.5,0.972900000000003,1
272,-130.5,0.972800000000003,1
273,-50.5,0.972700000000003,1
274,-142.5,0.972600000000003,0
275,-134.0,0.972500000000003,0
276,-112.5,0.972400000000003,1
277,-39.0,0.972300000000003,1
278,-22.5,0.9722000000000031,1
279,-118.5,0.9721000000000031,0
280,-211.5,0.9720000000000031,0
281,-120.5,0.9719000000000031,0
282,-61.0,0.9718000000000031,1
283,-117.5,0.9717000000000031,0
284,-189.5,0.9716000000000031,0
285,-141.5,0.9715000000000031,0
286,-182.0,0.9714000000000031,0
287,-97.0,0.9713000000000032,1
288,-165.0,0.9712000000000032,0
289,-67.5,0.9711000000000032,1
290,-242.5,0.9710000000000032,0
291,-145.5,0.9709000000000032,0
292,-192.0,0.9708000000000032,0
293,-206.0,0.9707000000000032,1
294,-138.5,0.9706000000000032,0
295,-40.0,0.9705000000000032,1
296,-139.0,0.9704000000000033,0
297,-140.0,0.9703000000000033,0
298,-140.5,0.9702000000000033,0
299,-178.5,0.9701000000000033,1
300,-143.5,0.9700000000000033,1
301,-52.5,0.9699000000000033,1
302,-46.0,0.9698000000000033,1
303,-148.5,0.9697000000000033,1
304,-20.5,0.9696000000000033,1
305,-156.5,0.9695000000000034,1
306,-152.5,0.9694000000000034,0
307,-118.5,0.9693000000000034,0
308,-173.0,0.9692000000000034,0
309,-50.5,0.9691000000000034,1
310,-181.0,0.9690000000000034,0
311,-171.5,0.9689000000000034,0
312,-144.0,0.9688000000000034,0
313,-82.0,0.9687000000000034,1
314,-137.5,0.9686000000000035,0
315,-150.5,0.9685000000000035,0
316,-161.0,0.9684000000000035,0
317,-177.5,0.9683000000000035,0
