episode,reward,epsilon,done
0,-274.0,1.0,0
1,-171.0,0.9999,1
2,-221.5,0.9998,0
3,-183.0,0.9997,0
4,-196.0,0.9996,0
5,-14.0,0.9995,1
6,-145.0,0.9994000000000001,1
7,-277.5,0.9993000000000001,0
8,-119.5,0.9992000000000001,0
9,-146.5,0.9991000000000001,1
10,-107.5,0.9990000000000001,1
11,-168.5,0.9989000000000001,0
12,-250.5,0.9988000000000001,1
13,-35.5,0.9987000000000001,1
14,-228.0,0.9986000000000002,1
15,-126.0,0.9985000000000002,1
16,-242.5,0.9984000000000002,0
17,-47.5,0.9983000000000002,1
18,-179.5,0.9982000000000002,0
19,-37.5,0.9981000000000002,1
20,-22.0,0.9980000000000002,1
21,-158.0,0.9979000000000002,1
22,-228.0,0.9978000000000002,0
23,-148.5,0.9977000000000003,0
24,-253.5,0.9976000000000003,0
25,-85.5,0.9975000000000003,1
26,-103.0,0.9974000000000003,1
27,-131.5,0.9973000000000003,0
28,-140.5,0.9972000000000003,1
29,-126.5,0.9971000000000003,0
30,-165.0,0.9970000000000003,1
31,-18.0,0.9969000000000003,1
32,-187.5,0.9968000000000004,0
33,-77.0,0.9967000000000004,1
34,-98.0,0.9966000000000004,1
35,-92.0,0.9965000000000004,1
36,-143.5,0.9964000000000004,0
37,-166.5,0.9963000000000004,1
38,-30.5,0.9962000000000004,1
39,-145.0,0.9961000000000004,1
40,-34.5,0.9960000000000004,1
41,-59.5,0.9959000000000005,1
42,-146.5,0.9958000000000005,1
43,-288.5,0.9957000000000005,0
44,-41.0,0.9956000000000005,1
45,-268.5,0.9955000000000005,0
46,-280.0,0.9954000000000005,0
47,-111.0,0.9953000000000005,1
48,-186.0,0.9952000000000005,0
49,-245.0,0.9951000000000005,1
50,-215.5,0.9950000000000006,0
51,-184.0,0.9949000000000006,0
52,-62.0,0.9948000000000006,1
53,-2.5,0.9947000000000006,1
54,-61.0,0.9946000000000006,1
55,-125.0,0.9945000000000006,1
56,-135.0,0.9944000000000006,0
57,-158.0,0.9943000000000006,1
58,-236.0,0.9942000000000006,0
59,-233.5,0.9941000000000006,0
60,-243.0,0.9940000000000007,0
61,-166.5,0.9939000000000007,0
62,-153.0,0.9938000000000007,0
63,-209.5,0.9937000000000007,1
64,-45.0,0.9936000000000007,1
65,-136.5,0.9935000000000007,0
66,-152.5,0.9934000000000007,0
67,-54.5,0.9933000000000007,1
68,-258.5,0.9932000000000007,0
69,-74.5,0.9931000000000008,1
70,-192.5,0.9930000000000008,1
71,-83.5,0.9929000000000008,1
72,-51.0,0.9928000000000008,1
73,-138.5,0.9927000000000008,0
74,-169.5,0.9926000000000008,0
75,-162.0,0.9925000000000008,0
76,-84.0,0.9924000000000008,1
77,-174.5,0.9923000000000008,0
78,-74.5,0.9922000000000009,1
79,-185.5,0.9921000000000009,0
80,-159.5,0.9920000000000009,0
81,-201.0,0.9919000000000009,0
82,-20.5,0.9918000000000009,1
83,-81.0,0.9917000000000009,1
84,-35.0,0.9916000000000009,1
85,-189.0,0.9915000000000009,0
86,-95.0,0.991400000000001,1
87,-239.5,0.991300000000001,0
88,-143.0,0.991200000000001,0
89,-82.5,0.991100000000001,1
90,-279.0,0.991000000000001,0
91,-129.0,0.990900000000001,0
92,-127.0,0.990800000000001,0
93,-101.5,0.990700000000001,1
94,-295.0,0.990600000000001,0
95,-93.0,0.990500000000001,1
96,-113.5,0.9904000000000011,0
97,-150.5,0.9903000000000011,0
98,-71.0,0.9902000000000011,1
99,-24.0,0.9901000000000011,1
100,-129.5,0.9900000000000011,0
101,-221.0,0.9899000000000011,1
102,-116.0,0.9898000000000011,1
103,-123.5,0.9897000000000011,0
104,-137.0,0.9896000000000011,0
105,-226.5,0.9895000000000012,1
106,-38.5,0.9894000000000012,1
107,-122.5,0.9893000000000012,0
108,-180.5,0.9892000000000012,0
109,-63.5,0.9891000000000012,1
110,-106.5,0.9890000000000012,1
111,-152.0,0.9889000000000012,0
112,-234.5,0.9888000000000012,0
113,-54.5,0.9887000000000012,1
114,-137.0,0.9886000000000013,0
115,-226.5,0.9885000000000013,0
116,-131.0,0.9884000000000013,1
117,-159.0,0.9883000000000013,0
118,-217.0,0.9882000000000013,0
119,-275.5,0.9881000000000013,0
120,-162.5,0.9880000000000013,0
121,-147.0,0.9879000000000013,0
122,-31.0,0.9878000000000013,1
123,-169.0,0.9877000000000014,0
124,-127.0,0.9876000000000014,1
125,-141.0,0.9875000000000014,0
126,-84.0,0.9874000000000014,1
127,-67.0,0.9873000000000014,1
128,-283.0,0.9872000000000014,0
129,-229.0,0.9871000000000014,0
130,-154.0,0.9870000000000014,1
131,-13.5,0.9869000000000014,1
132,-128.5,0.9868000000000015,0
133,-134.5,0.9867000000000015,0
134,-96.5,0.9866000000000015,1
135,-150.0,0.9865000000000015,1
136,-137.0,0.9864000000000015,1
137,-38.0,0.9863000000000015,1
