episode,reward,epsilon,done
0,-240.0,1.0,0
1,-150.5,0.9999,0
2,-280.5,0.9998,0
3,-121.5,0.9997,0
4,-96.5,0.9996,1
5,-138.5,0.9995,1
6,-179.5,0.9994000000000001,1
7,-180.5,0.9993000000000001,0
8,-75.0,0.9992000000000001,1
9,-202.0,0.9991000000000001,0
10,-177.0,0.9990000000000001,0
11,-108.0,0.9989000000000001,1
12,-89.0,0.9988000000000001,1
13,-123.0,0.9987000000000001,0
14,-157.5,0.9986000000000002,1
15,-139.0,0.9985000000000002,0
16,-190.0,0.9984000000000002,0
17,-147.0,0.9983000000000002,0
18,-118.0,0.9982000000000002,1
19,-89.0,0.9981000000000002,1
20,-152.0,0.9980000000000002,0
21,-90.0,0.9979000000000002,1
22,-216.0,0.9978000000000002,0
23,-189.0,0.9977000000000003,0
24,-99.0,0.9976000000000003,1
25,-180.5,0.9975000000000003,0
26,-59.5,0.9974000000000003,1
27,-213.0,0.9973000000000003,0
28,-9.0,0.9972000000000003,1
29,-131.0,0.9971000000000003,1
30,-155.5,0.9970000000000003,0
31,-22.0,0.9969000000000003,1
32,-177.0,0.9968000000000004,0
33,-48.5,0.9967000000000004,1
34,-182.0,0.9966000000000004,0
35,-128.5,0.9965000000000004,1
36,-148.5,0.9964000000000004,0
37,-208.5,0.9963000000000004,0
38,-257.0,0.9962000000000004,0
39,-250.5,0.9961000000000004,0
40,-197.0,0.9960000000000004,0
41,-177.0,0.9959000000000005,0
42,-44.5,0.9958000000000005,1
43,-45.0,0.9957000000000005,1
44,-113.5,0.9956000000000005,1
45,-153.0,0.9955000000000005,0
46,-122.0,0.9954000000000005,0
47,-38.5,0.9953000000000005,1
48,-120.5,0.9952000000000005,0
49,-61.5,0.9951000000000005,1
50,-133.0,0.9950000000000006,1
51,-223.5,0.9949000000000006,0
52,-107.5,0.9948000000000006,1
53,-47.5,0.9947000000000006,1
54,-168.5,0.9946000000000006,0
55,-115.0,0.9945000000000006,0
56,-84.0,0.9944000000000006,1
57,-55.0,0.9943000000000006,1
58,-126.5,0.9942000000000006,1
59,-120.5,0.9941000000000006,0
60,-212.5,0.9940000000000007,0
61,-213.0,0.9939000000000007,0
62,-198.0,0.9938000000000007,0
63,-126.0,0.9937000000000007,0
64,-167.5,0.9936000000000007,0
65,-131.0,0.9935000000000007,0
66,-54.0,0.9934000000000007,1
67,-137.5,0.9933000000000007,0
68,-188.0,0.9932000000000007,0
69,-113.0,0.9931000000000008,1
70,-233.5,0.9930000000000008,0
71,-234.0,0.9929000000000008,0
72,-278.5,0.9928000000000008,0
73,-193.5,0.9927000000000008,0
74,-102.5,0.9926000000000008,1
75,-228.5,0.9925000000000008,0
76,-136.5,0.9924000000000008,0
77,-192.5,0.9923000000000008,1
78,-217.5,0.9922000000000009,0
79,-286.5,0.9921000000000009,0
80,-118.0,0.9920000000000009,1
81,-184.5,0.9919000000000009,0
82,-260.5,0.9918000000000009,0
83,-205.0,0.9917000000000009,0
84,-170.5,0.9916000000000009,0
85,-236.0,0.9915000000000009,0
86,-156.5,0.991400000000001,0
87,-273.0,0.991300000000001,0
88,-106.5,0.991200000000001,1
89,-56.0,0.991100000000001,1
90,-173.5,0.991000000000001,0
91,-73.0,0.990900000000001,1
92,-65.5,0.990800000000001,1
93,-170.0,0.990700000000001,0
94,-61.0,0.990600000000001,1
95,-122.0,0.990500000000001,0
96,-135.0,0.9904000000000011,0
97,-137.0,0.9903000000000011,0
98,-278.5,0.9902000000000011,0
99,-71.5,0.9901000000000011,1
100,-125.0,0.9900000000000011,1
101,-60.5,0.9899000000000011,1
102,-162.5,0.9898000000000011,0
103,-193.0,0.9897000000000011,0
104,-120.0,0.9896000000000011,1
105,-215.0,0.9895000000000012,0
106,-128.5,0.9894000000000012,1
107,-225.5,0.9893000000000012,0
108,-174.5,0.9892000000000012,0
109,-7.0,0.9891000000000012,1
110,-134.0,0.9890000000000012,0
111,-223.0,0.9889000000000012,0
112,-53.5,0.9888000000000012,1
113,-127.5,0.9887000000000012,0
114,-130.0,0.9886000000000013,0
115,-165.5,0.9885000000000013,0
116,-27.0,0.9884000000000013,1
117,-86.0,0.9883000000000013,1
118,-174.0,0.9882000000000013,0
119,-227.0,0.9881000000000013,0
120,-118.5,0.9880000000000013,1
121,-92.5,0.9879000000000013,1
122,-46.0,0.9878000000000013,1
123,-150.0,0.9877000000000014,0
124,-124.5,0.9876000000000014,0
125,-238.0,0.9875000000000014,0
126,-240.5,0.9874000000000014,1
127,-187.5,0.9873000000000014,0
128,-189.5,0.9872000000000014,0
129,-205.0,0.9871000000000014,0
130,-42.0,0.9870000000000014,1
131,-161.5,0.9869000000000014,1
132,-204.0,0.9868000000000015,0
133,-49.5,0.9867000000000015,1
134,-155.0,0.9866000000000015,0
135,-196.5,0.9865000000000015,0
136,-137.0,0.9864000000000015,0
137,-185.0,0.9863000000000015,0
138,-182.5,0.9862000000000015,1
139,-181.5,0.9861000000000015,0
140,-41.0,0.9860000000000015,1
141,-133.5,0.9859000000000016,0
142,-79.5,0.9858000000000016,1
143,-213.0,0.9857000000000016,0
144,-154.5,0.9856000000000016,1
145,-216.5,0.9855000000000016,0
146,-111.5,0.9854000000000016,1
147,-36.5,0.9853000000000016,1
148,-271.0,0.9852000000000016,0
149,-190.0,0.9851000000000016,0
150,-206.5,0.9850000000000017,0
151,-85.5,0.9849000000000017,1
152,-158.0,0.9848000000000017,1
153,-175.5,0.9847000000000017,0
154,-33.5,0.9846000000000017,1
155,-161.5,0.9845000000000017,0
156,-154.5,0.9844000000000017,1
157,-30.0,0.9843000000000017,1
158,-133.5,0.9842000000000017,1
159,-92.0,0.9841000000000018,1
160,-180.5,0.9840000000000018,0
161,-240.0,0.9839000000000018,0
162,-159.5,0.9838000000000018,0
163,-201.0,0.9837000000000018,0
164,-172.0,0.9836000000000018,0
165,-149.0,0.9835000000000018,0
166,-144.5,0.9834000000000018,0
167,-53.5,0.9833000000000018,1
168,-120.0,0.9832000000000019,1
169,-168.0,0.9831000000000019,0
170,-61.5,0.9830000000000019,1
171,-163.5,0.9829000000000019,0
172,-252.5,0.9828000000000019,0
173,-119.5,0.9827000000000019,0
174,-35.0,0.9826000000000019,1
175,-301.0,0.9825000000000019,0
176,-205.5,0.9824000000000019,0
177,-206.5,0.982300000000002,1
178,-209.0,0.982200000000002,0
179,-188.5,0.982100000000002,0
180,-75.0,0.982000000000002,1
181,-64.0,0.981900000000002,1
182,-89.5,0.981800000000002,1
183,-198.5,0.981700000000002,1
