episode,reward,epsilon,done
0,-53.0,1.0,1
1,-139.5,0.9999,0
2,-149.0,0.9998,0
3,-67.5,0.9997,1
4,-148.0,0.9996,0
5,-210.0,0.9995,0
6,-236.0,0.9994000000000001,0
7,-22.0,0.9993000000000001,1
8,-77.0,0.9992000000000001,1
9,-45.0,0.9991000000000001,1
10,-166.5,0.9990000000000001,0
11,-128.5,0.9989000000000001,1
12,-219.5,0.9988000000000001,0
13,-173.5,0.9987000000000001,0
14,-158.0,0.9986000000000002,0
15,-166.5,0.9985000000000002,0
16,-138.0,0.9984000000000002,0
17,-139.0,0.9983000000000002,0
18,-137.0,0.9982000000000002,0
19,-164.5,0.9981000000000002,0
20,-271.0,0.9980000000000002,0
21,-47.5,0.9979000000000002,1
22,-137.0,0.9978000000000002,1
23,-49.5,0.9977000000000003,1
24,-158.0,0.9976000000000003,0
25,-180.0,0.9975000000000003,0
26,-92.5,0.9974000000000003,1
27,-82.0,0.9973000000000003,1
28,-127.0,0.9972000000000003,0
29,-207.5,0.9971000000000003,0
30,-189.5,0.9970000000000003,1
31,-164.5,0.9969000000000003,1
32,-243.5,0.9968000000000004,0
33,-205.5,0.9967000000000004,0
34,-164.0,0.9966000000000004,1
35,-132.5,0.9965000000000004,0
36,-173.5,0.9964000000000004,0
37,-141.5,0.9963000000000004,0
38,-171.5,0.9962000000000004,1
39,-71.5,0.9961000000000004,1
40,-142.0,0.9960000000000004,0
41,-121.5,0.9959000000000005,1
42,-101.5,0.9958000000000005,1
43,-179.0,0.9957000000000005,0
44,-139.0,0.9956000000000005,0
45,-154.5,0.9955000000000005,0
46,-86.0,0.9954000000000005,1
47,-252.0,0.9953000000000005,0
48,-163.5,0.9952000000000005,0
49,-201.5,0.9951000000000005,1
50,-157.0,0.9950000000000006,1
51,-139.0,0.9949000000000006,0
52,-156.5,0.9948000000000006,1
53,-197.5,0.9947000000000006,0
54,-133.5,0.9946000000000006,0
55,-173.0,0.9945000000000006,1
56,-45.5,0.9944000000000006,1
57,-106.0,0.9943000000000006,1
58,-159.0,0.9942000000000006,1
59,-164.5,0.9941000000000006,0
60,-185.0,0.9940000000000007,1
61,-90.0,0.9939000000000007,1
62,-114.5,0.9938000000000007,0
63,-198.0,0.9937000000000007,0
64,-118.5,0.9936000000000007,1
65,-181.5,0.9935000000000007,0
66,-67.5,0.9934000000000007,1
67,-57.5,0.9933000000000007,1
68,-217.0,0.9932000000000007,1
69,-95.0,0.9931000000000008,1
70,-159.0,0.9930000000000008,1
71,-285.0,0.9929000000000008,0
72,-199.0,0.9928000000000008,1
73,-203.0,0.9927000000000008,0
74,-28.0,0.9926000000000008,1
75,-124.0,0.9925000000000008,0
76,-253.5,0.9924000000000008,0
77,-125.0,0.9923000000000008,0
78,-148.0,0.9922000000000009,0
79,-103.5,0.9921000000000009,1
80,-203.5,0.9920000000000009,0
81,-108.5,0.9919000000000009,1
82,-179.0,0.9918000000000009,0
83,-142.5,0.9917000000000009,0
84,-109.5,0.9916000000000009,1
