episode,reward,epsilon,done
0,-155.5,1.0,0
1,-174.0,0.9999,0
2,-165.5,0.9998,1
3,-254.0,0.9997,0
4,-142.5,0.9996,0
5,-104.0,0.9995,1
6,-198.0,0.9994000000000001,1
7,-177.0,0.9993000000000001,1
8,-123.0,0.9992000000000001,0
9,-181.5,0.9991000000000001,0
10,-175.5,0.9990000000000001,0
11,-166.5,0.9989000000000001,0
12,-172.0,0.9988000000000001,0
13,-21.5,0.9987000000000001,1
14,-120.0,0.9986000000000002,0
15,-38.5,0.9985000000000002,1
16,-26.5,0.9984000000000002,1
17,-199.0,0.9983000000000002,1
18,-166.0,0.9982000000000002,0
19,-196.5,0.9981000000000002,0
20,-153.5,0.9980000000000002,1
21,-182.5,0.9979000000000002,0
22,-122.0,0.9978000000000002,0
23,-242.5,0.9977000000000003,0
24,-77.5,0.9976000000000003,1
25,-116.0,0.9975000000000003,0
26,-181.0,0.9974000000000003,0
27,-129.0,0.9973000000000003,0
28,-213.0,0.9972000000000003,0
29,-116.5,0.9971000000000003,1
30,-90.5,0.9970000000000003,1
31,-151.5,0.9969000000000003,1
32,-149.0,0.9968000000000004,1
33,-164.0,0.9967000000000004,0
34,-121.0,0.9966000000000004,1
35,-81.0,0.9965000000000004,1
36,-204.0,0.9964000000000004,0
37,-224.5,0.9963000000000004,0
38,-155.5,0.9962000000000004,1
39,-67.5,0.9961000000000004,1
40,-125.5,0.9960000000000004,0
41,-186.0,0.9959000000000005,0
42,-113.0,0.9958000000000005,1
43,-214.5,0.9957000000000005,0
44,-86.0,0.9956000000000005,1
45,-80.5,0.9955000000000005,1
46,-223.5,0.9954000000000005,0
47,-15.0,0.9953000000000005,1
48,-288.0,0.9952000000000005,0
49,-155.0,0.9951000000000005,0
50,-66.5,0.9950000000000006,1
51,-237.5,0.9949000000000006,1
52,-123.5,0.9948000000000006,0
53,-139.0,0.9947000000000006,1
54,-1.5,0.9946000000000006,1
55,-107.5,0.9945000000000006,1
56,-177.0,0.9944000000000006,0
