episode,reward,epsilon,done
0,-262.5,1.0,0
1,-197.0,0.9999,0
2,-222.0,0.9998,0
3,-51.5,0.9997,1
4,-183.5,0.9996,0
5,-74.5,0.9995,1
6,-79.5,0.9994000000000001,1
7,-194.0,0.9993000000000001,1
8,-103.5,0.9992000000000001,1
9,-142.5,0.9991000000000001,1
10,-173.0,0.9990000000000001,0
11,-85.5,0.9989000000000001,1
12,-98.5,0.9988000000000001,1
13,-223.0,0.9987000000000001,0
14,-237.0,0.9986000000000002,0
15,-40.0,0.9985000000000002,1
16,-170.5,0.9984000000000002,0
17,-209.5,0.9983000000000002,0
18,-72.5,0.9982000000000002,1
19,-129.5,0.9981000000000002,1
20,-237.5,0.9980000000000002,0
21,-160.0,0.9979000000000002,0
22,-161.0,0.9978000000000002,0
23,-122.0,0.9977000000000003,0
24,-54.0,0.9976000000000003,1
25,-159.0,0.9975000000000003,0
26,-262.5,0.9974000000000003,0
27,-142.0,0.9973000000000003,0
28,-131.5,0.9972000000000003,0
29,-5.5,0.9971000000000003,1
30,-230.0,0.9970000000000003,0
31,-189.0,0.9969000000000003,0
32,-152.0,0.9968000000000004,0
33,-78.0,0.9967000000000004,1
34,-133.5,0.9966000000000004,0
35,-209.0,0.9965000000000004,0
36,-145.5,0.9964000000000004,0
37,-179.0,0.9963000000000004,0
38,-137.5,0.9962000000000004,1
39,-150.0,0.9961000000000004,0
40,-221.0,0.9960000000000004,0
41,-234.5,0.9959000000000005,0
42,-167.5,0.9958000000000005,1
43,-196.0,0.9957000000000005,1
44,-156.0,0.9956000000000005,1
45,-238.5,0.9955000000000005,0
46,-23.0,0.9954000000000005,1
47,-250.5,0.9953000000000005,0
48,-82.5,0.9952000000000005,1
49,-38.0,0.9951000000000005,1
50,-227.0,0.9950000000000006,0
51,-113.5,0.9949000000000006,0
52,-183.0,0.9948000000000006,0
53,-173.5,0.9947000000000006,1
54,-121.0,0.9946000000000006,1
55,-194.5,0.9945000000000006,0
56,-50.0,0.9944000000000006,1
57,-214.0,0.9943000000000006,1
58,-228.0,0.9942000000000006,1
59,-168.5,0.9941000000000006,0
60,-163.5,0.9940000000000007,0
61,-137.5,0.9939000000000007,1
62,-275.5,0.9938000000000007,0
63,-100.5,0.9937000000000007,1
64,-223.5,0.9936000000000007,0
65,-257.5,0.9935000000000007,0
66,-140.5,0.9934000000000007,1
67,-266.0,0.9933000000000007,0
68,-240.0,0.9932000000000007,0
69,-104.0,0.9931000000000008,1
70,-110.5,0.9930000000000008,1
71,-182.0,0.9929000000000008,1
72,-176.0,0.9928000000000008,1
73,-194.5,0.9927000000000008,0
74,-26.5,0.9926000000000008,1
75,-39.0,0.9925000000000008,1
76,-185.0,0.9924000000000008,0
77,-151.0,0.9923000000000008,1
78,-168.0,0.9922000000000009,0
79,-257.0,0.9921000000000009,0
80,-245.5,0.9920000000000009,0
81,-151.0,0.9919000000000009,1
82,-207.0,0.9918000000000009,0
83,-60.5,0.9917000000000009,1
