episode,reward,epsilon,done
0,-154.5,1.0,0
1,-163.5,0.9999,1
2,-189.0,0.9998,0
3,-82.0,0.9997,1
4,-253.0,0.9996,0
5,-132.0,0.9995,0
6,-229.0,0.9994000000000001,1
7,-153.5,0.9993000000000001,1
8,-148.0,0.9992000000000001,0
9,-235.5,0.9991000000000001,0
10,-130.0,0.9990000000000001,0
11,-147.0,0.9989000000000001,1
12,-177.0,0.9988000000000001,1
13,-139.5,0.9987000000000001,0
14,-174.5,0.9986000000000002,0
15,-230.5,0.9985000000000002,0
16,-91.5,0.9984000000000002,1
17,-267.5,0.9983000000000002,0
18,-22.5,0.9982000000000002,1
19,-185.5,0.9981000000000002,0
20,-108.5,0.9980000000000002,1
21,-261.5,0.9979000000000002,0
22,-146.0,0.9978000000000002,0
23,-102.0,0.9977000000000003,1
24,-172.0,0.9976000000000003,0
25,-191.5,0.9975000000000003,0
26,-222.5,0.9974000000000003,0
27,-57.5,0.9973000000000003,1
28,-199.0,0.9972000000000003,0
29,-225.0,0.9971000000000003,0
30,-281.5,0.9970000000000003,0
31,-197.5,0.9969000000000003,0
32,-102.0,0.9968000000000004,1
33,-204.5,0.9967000000000004,0
34,-201.0,0.9966000000000004,0
35,-69.0,0.9965000000000004,1
36,-150.0,0.9964000000000004,0
37,-69.5,0.9963000000000004,1
38,-71.5,0.9962000000000004,1
39,-203.0,0.9961000000000004,1
40,-179.0,0.9960000000000004,0
41,-216.0,0.9959000000000005,1
42,-195.0,0.9958000000000005,0
43,-147.0,0.9957000000000005,0
44,-130.0,0.9956000000000005,0
45,-109.0,0.9955000000000005,0
46,-214.5,0.9954000000000005,0
47,-173.5,0.9953000000000005,0
48,-29.0,0.9952000000000005,1
49,-81.5,0.9951000000000005,1
50,-146.0,0.9950000000000006,0
51,-78.5,0.9949000000000006,1
52,-123.5,0.9948000000000006,0
53,-224.5,0.9947000000000006,0
54,-39.5,0.9946000000000006,1
55,-154.0,0.9945000000000006,0
56,-51.0,0.9944000000000006,1
57,-156.0,0.9943000000000006,0
58,-21.5,0.9942000000000006,1
59,-75.0,0.9941000000000006,1
60,-132.0,0.9940000000000007,0
61,-212.5,0.9939000000000007,0
62,-170.0,0.9938000000000007,0
63,-132.5,0.9937000000000007,0
64,-190.0,0.9936000000000007,0
65,-39.0,0.9935000000000007,1
66,-136.0,0.9934000000000007,0
67,-124.0,0.9933000000000007,1
68,-53.0,0.9932000000000007,1
69,-83.5,0.9931000000000008,1
70,-264.0,0.9930000000000008,0
71,-210.0,0.9929000000000008,0
72,-226.0,0.9928000000000008,0
73,-63.0,0.9927000000000008,1
74,-25.0,0.9926000000000008,1
75,-138.5,0.9925000000000008,0
76,-218.0,0.9924000000000008,0
77,-176.0,0.9923000000000008,0
78,-197.0,0.9922000000000009,0
79,-175.0,0.9921000000000009,1
80,-184.0,0.9920000000000009,0
81,-187.5,0.9919000000000009,1
82,-222.0,0.9918000000000009,0
83,-141.5,0.9917000000000009,0
84,-148.0,0.9916000000000009,1
85,-195.5,0.9915000000000009,0
86,-108.5,0.991400000000001,1
87,-181.0,0.991300000000001,0
88,-176.0,0.991200000000001,0
89,-49.0,0.991100000000001,1
90,-155.0,0.991000000000001,0
91,-163.5,0.990900000000001,0
92,-122.5,0.990800000000001,0
93,-207.0,0.990700000000001,0
94,-137.0,0.990600000000001,1
95,-50.5,0.990500000000001,1
96,-33.0,0.9904000000000011,1
97,-207.0,0.9903000000000011,1
98,-102.0,0.9902000000000011,1
99,-130.0,0.9901000000000011,0
100,-215.0,0.9900000000000011,0
101,-188.5,0.9899000000000011,0
102,-127.5,0.9898000000000011,1
103,-102.5,0.9897000000000011,1
104,-206.5,0.9896000000000011,0
105,-180.0,0.9895000000000012,0
106,-125.0,0.9894000000000012,0
107,-196.5,0.9893000000000012,0
108,-122.5,0.9892000000000012,0
109,-144.5,0.9891000000000012,0
110,-128.0,0.9890000000000012,0
111,-160.0,0.9889000000000012,0
112,-152.0,0.9888000000000012,1
113,-137.5,0.9887000000000012,0
114,-201.5,0.9886000000000013,0
115,-145.5,0.9885000000000013,0
116,-117.5,0.9884000000000013,1
117,-140.5,0.9883000000000013,0
118,-147.5,0.9882000000000013,0
119,-71.5,0.9881000000000013,1
120,-32.0,0.9880000000000013,1
121,-62.5,0.9879000000000013,1
122,-288.0,0.9878000000000013,0
123,-105.5,0.9877000000000014,0
124,-183.0,0.9876000000000014,1
125,-193.5,0.9875000000000014,0
126,-235.5,0.9874000000000014,1
127,-116.5,0.9873000000000014,1
128,-115.0,0.9872000000000014,1
129,-174.5,0.9871000000000014,0
130,-42.5,0.9870000000000014,1
131,-56.0,0.9869000000000014,1
132,-81.5,0.9868000000000015,1
133,-207.0,0.9867000000000015,0
134,-182.0,0.9866000000000015,1
135,-121.0,0.9865000000000015,0
136,-103.5,0.9864000000000015,1
137,-128.5,0.9863000000000015,0
138,-35.5,0.9862000000000015,1
139,-207.0,0.9861000000000015,0
140,-134.5,0.9860000000000015,0
141,-176.5,0.9859000000000016,0
142,-60.5,0.9858000000000016,1
143,-122.5,0.9857000000000016,0
144,-116.0,0.9856000000000016,0
145,-162.5,0.9855000000000016,0
146,-61.0,0.9854000000000016,1
147,-98.0,0.9853000000000016,1
148,-118.5,0.9852000000000016,0
149,-135.0,0.9851000000000016,0
150,-150.0,0.9850000000000017,0
151,-173.5,0.9849000000000017,1
152,-219.5,0.9848000000000017,0
153,-121.0,0.9847000000000017,1
154,-45.0,0.9846000000000017,1
155,-171.0,0.9845000000000017,0
156,-161.0,0.9844000000000017,0
157,-256.0,0.9843000000000017,0
158,-78.5,0.9842000000000017,1
159,-127.0,0.9841000000000018,0
160,-145.0,0.9840000000000018,0
161,-156.0,0.9839000000000018,0
162,-191.5,0.9838000000000018,0
163,-131.5,0.9837000000000018,0
164,-208.5,0.9836000000000018,0
165,-113.0,0.9835000000000018,1
166,-115.0,0.9834000000000018,0
167,-184.5,0.9833000000000018,0
168,-72.0,0.9832000000000019,1
169,-46.0,0.9831000000000019,1
170,-73.5,0.9830000000000019,1
171,-102.0,0.9829000000000019,1
172,-125.0,0.9828000000000019,0
173,-311.5,0.9827000000000019,0
174,-28.5,0.9826000000000019,1
175,-100.0,0.9825000000000019,1
176,-174.0,0.9824000000000019,0
177,-171.5,0.982300000000002,0
178,-101.0,0.982200000000002,1
179,-202.0,0.982100000000002,0
180,-72.0,0.982000000000002,1
181,-131.5,0.981900000000002,1
182,-148.0,0.981800000000002,1
183,-233.5,0.981700000000002,1
184,-151.0,0.981600000000002,0
185,-143.5,0.981500000000002,0
186,-126.5,0.981400000000002,0
187,-163.5,0.9813000000000021,0
188,-287.5,0.9812000000000021,0
189,-143.5,0.9811000000000021,0
190,-126.5,0.9810000000000021,1
191,-138.0,0.9809000000000021,1
192,-165.5,0.9808000000000021,0
193,-146.5,0.9807000000000021,0
194,-93.5,0.9806000000000021,1
195,-164.5,0.9805000000000021,0
196,-127.5,0.9804000000000022,0
197,-128.0,0.9803000000000022,1
198,-190.0,0.9802000000000022,1
199,-147.5,0.9801000000000022,0
200,-217.0,0.9800000000000022,0
201,-68.5,0.9799000000000022,1
202,-42.5,0.9798000000000022,1
203,-175.5,0.9797000000000022,0
204,-251.5,0.9796000000000022,0
205,-185.0,0.9795000000000023,0
206,-124.5,0.9794000000000023,0
207,-123.0,0.9793000000000023,0
208,-50.5,0.9792000000000023,1
209,-138.0,0.9791000000000023,0
210,-39.5,0.9790000000000023,1
211,-36.0,0.9789000000000023,1
212,-215.5,0.9788000000000023,1
213,-139.0,0.9787000000000023,1
214,-140.0,0.9786000000000024,0
215,-127.5,0.9785000000000024,0
216,-187.0,0.9784000000000024,0
217,-161.0,0.9783000000000024,1
218,-140.0,0.9782000000000024,0
219,-107.0,0.9781000000000024,1
220,-163.5,0.9780000000000024,0
221,-46.0,0.9779000000000024,1
222,-200.0,0.9778000000000024,0
223,-137.0,0.9777000000000025,0
224,-62.5,0.9776000000000025,1
225,-139.0,0.9775000000000025,0
226,-256.0,0.9774000000000025,0
227,-139.5,0.9773000000000025,0
228,-121.5,0.9772000000000025,0
229,-145.0,0.9771000000000025,0
230,-130.0,0.9770000000000025,0
231,-212.0,0.9769000000000025,0
232,-43.0,0.9768000000000026,1
233,-98.5,0.9767000000000026,1
234,-211.5,0.9766000000000026,0
235,-124.0,0.9765000000000026,0
236,-148.5,0.9764000000000026,0
237,-149.0,0.9763000000000026,0
238,-198.5,0.9762000000000026,0
239,-44.0,0.9761000000000026,1
240,-43.5,0.9760000000000026,1
241,-229.0,0.9759000000000027,0
242,-151.5,0.9758000000000027,0
243,-124.5,0.9757000000000027,0
244,-143.5,0.9756000000000027,1
245,-162.5,0.9755000000000027,0
246,-31.0,0.9754000000000027,1
247,-113.5,0.9753000000000027,1
248,-134.5,0.9752000000000027,0
249,-74.5,0.9751000000000027,1
250,-214.5,0.9750000000000028,0
251,-229.0,0.9749000000000028,0
252,-194.0,0.9748000000000028,0
253,-242.5,0.9747000000000028,0
254,-174.0,0.9746000000000028,0
255,-48.5,0.9745000000000028,1
256,-173.0,0.9744000000000028,1
257,-199.5,0.9743000000000028,0
258,-191.0,0.9742000000000028,0
259,-52.5,0.9741000000000029,1
260,-240.0,0.9740000000000029,0
261,-170.0,0.9739000000000029,0
262,-189.5,0.9738000000000029,0
263,-151.0,0.9737000000000029,0
264,-139.5,0.9736000000000029,0
265,-186.5,0.9735000000000029,0
266,-174.0,0.9734000000000029,0
267,-211.0,0.9733000000000029,1
268,-107.5,0.973200000000003,1
269,-147.0,0.973100000000003,0
270,-51.0,0.973000000000003,1
271,-146.0,0.972900000000003,0
272,-68.0,0.972800000000003,1
273,-224.5,0.972700000000003,0
274,-57.0,0.972600000000003,1
275,-153.0,0.972500000000003,0
276,-80.0,0.972400000000003,1
277,-178.0,0.972300000000003,0
278,-137.0,0.9722000000000031,1
279,-192.5,0.9721000000000031,0
280,-132.0,0.9720000000000031,0
281,-105.5,0.9719000000000031,1
282,-154.5,0.9718000000000031,0
283,-124.5,0.9717000000000031,0
284,-119.5,0.9716000000000031,0
285,-112.5,0.9715000000000031,1
286,-222.5,0.9714000000000031,0
287,-120.0,0.9713000000000032,0
288,-160.0,0.9712000000000032,0
289,-22.0,0.9711000000000032,1
290,-143.0,0.9710000000000032,1
291,-181.0,0.9709000000000032,1
292,-205.0,0.9708000000000032,0
293,-75.5,0.9707000000000032,1
294,-69.0,0.9706000000000032,1
295,-61.0,0.9705000000000032,1
296,-124.5,0.9704000000000033,0
297,-133.5,0.9703000000000033,0
298,-53.0,0.9702000000000033,1
299,-164.0,0.9701000000000033,0
300,-37.0,0.9700000000000033,1
301,-15.0,0.9699000000000033,1
302,-164.5,0.9698000000000033,0
303,-82.0,0.9697000000000033,1
304,-113.5,0.9696000000000033,1
305,-127.0,0.9695000000000034,0
306,-100.5,0.9694000000000034,1
307,-137.0,0.9693000000000034,0
308,-182.0,0.9692000000000034,0
309,-120.5,0.9691000000000034,1
310,-217.5,0.9690000000000034,1
311,-180.5,0.9689000000000034,0
312,-128.0,0.9688000000000034,0
313,-104.0,0.9687000000000034,1
314,-104.0,0.9686000000000035,1
315,-115.0,0.9685000000000035,1
316,-73.5,0.9684000000000035,1
317,-179.5,0.9683000000000035,1
318,-150.5,0.9682000000000035,0
319,-155.5,0.9681000000000035,1
320,-173.5,0.9680000000000035,0
321,-134.5,0.9679000000000035,0
322,-20.0,0.9678000000000035,1
323,-79.5,0.9677000000000036,1
324,-129.5,0.9676000000000036,0
325,-86.0,0.9675000000000036,1
326,-99.0,0.9674000000000036,1
327,-183.5,0.9673000000000036,0
328,-118.5,0.9672000000000036,0
329,-59.0,0.9671000000000036,1
330,-199.5,0.9670000000000036,0
331,-137.0,0.9669000000000036,0
332,-62.0,0.9668000000000037,1
333,-168.5,0.9667000000000037,1
334,-128.0,0.9666000000000037,0
335,-19.0,0.9665000000000037,1
336,-215.5,0.9664000000000037,0
337,-49.0,0.9663000000000037,1
338,-189.5,0.9662000000000037,0
339,-48.0,0.9661000000000037,1
340,-78.0,0.9660000000000037,1
341,-132.0,0.9659000000000038,0
342,-207.0,0.9658000000000038,1
343,-171.0,0.9657000000000038,0
344,-65.5,0.9656000000000038,1
345,-143.5,0.9655000000000038,0
346,-117.0,0.9654000000000038,1
347,-13.5,0.9653000000000038,1
348,-82.0,0.9652000000000038,1
349,-298.5,0.9651000000000038,0
350,-98.0,0.9650000000000039,1
351,-178.0,0.9649000000000039,0
352,-196.0,0.9648000000000039,0
353,-127.0,0.9647000000000039,0
354,-127.0,0.9646000000000039,0
355,-174.5,0.9645000000000039,1
356,-134.0,0.9644000000000039,0
357,-132.0,0.9643000000000039,0
358,-205.5,0.9642000000000039,0
359,-138.0,0.964100000000004,0
360,-110.5,0.964000000000004,0
361,-41.5,0.963900000000004,1
362,-80.5,0.963800000000004,1
363,-144.0,0.963700000000004,0
364,-50.0,0.963600000000004,1
365,-137.5,0.963500000000004,1
366,-152.0,0.963400000000004,0
367,-60.5,0.963300000000004,1
368,-205.5,0.963200000000004,0
369,-129.5,0.9631000000000041,0
370,-41.5,0.9630000000000041,1
371,-132.0,0.9629000000000041,1
372,-179.5,0.9628000000000041,0
373,-52.5,0.9627000000000041,1
374,-138.5,0.9626000000000041,1
375,-87.0,0.9625000000000041,1
376,-65.5,0.9624000000000041,1
377,-79.5,0.9623000000000042,1
378,-46.0,0.9622000000000042,1
379,-200.5,0.9621000000000042,1
380,-140.5,0.9620000000000042,1
381,-195.0,0.9619000000000042,1
382,-134.5,0.9618000000000042,0
383,-205.5,0.9617000000000042,0
384,-78.0,0.9616000000000042,1
385,-205.5,0.9615000000000042,0
386,-127.5,0.9614000000000043,0
387,-47.0,0.9613000000000043,1
388,-33.0,0.9612000000000043,1
389,-53.0,0.9611000000000043,1
390,-85.0,0.9610000000000043,1
391,-151.0,0.9609000000000043,0
392,-153.5,0.9608000000000043,1
393,-165.5,0.9607000000000043,0
394,-170.5,0.9606000000000043,1
395,-263.0,0.9605000000000044,0
396,-12.5,0.9604000000000044,1
397,-235.0,0.9603000000000044,0
398,-202.5,0.9602000000000044,0
399,-161.5,0.9601000000000044,0
400,-114.5,0.9600000000000044,1
401,-185.0,0.9599000000000044,0
402,-116.0,0.9598000000000044,0
403,-226.5,0.9597000000000044,0
404,-140.5,0.9596000000000044,0
405,-123.5,0.9595000000000045,0
406,-114.0,0.9594000000000045,0
407,-20.0,0.9593000000000045,1
408,-143.5,0.9592000000000045,0
409,-93.5,0.9591000000000045,1
410,-34.5,0.9590000000000045,1
411,-112.5,0.9589000000000045,1
412,-121.0,0.9588000000000045,0
413,-153.0,0.9587000000000045,0
414,-161.0,0.9586000000000046,1
415,-90.5,0.9585000000000046,1
416,-87.5,0.9584000000000046,1
417,-37.0,0.9583000000000046,1
418,-61.5,0.9582000000000046,1
419,-158.0,0.9581000000000046,0
420,-147.0,0.9580000000000046,0
421,-80.5,0.9579000000000046,1
422,-79.0,0.9578000000000046,1
423,-193.0,0.9577000000000047,0
424,-131.0,0.9576000000000047,0
425,-175.0,0.9575000000000047,1
426,-176.0,0.9574000000000047,1
427,-108.0,0.9573000000000047,1
428,-135.5,0.9572000000000047,0
429,-124.5,0.9571000000000047,0
430,-66.5,0.9570000000000047,1
431,-49.5,0.9569000000000047,1
432,-159.5,0.9568000000000048,0
433,-176.5,0.9567000000000048,0
434,-40.5,0.9566000000000048,1
435,-240.5,0.9565000000000048,0
436,-57.0,0.9564000000000048,1
437,-156.5,0.9563000000000048,0
438,-237.0,0.9562000000000048,0
439,-189.5,0.9561000000000048,0
440,-63.5,0.9560000000000048,1
441,-120.5,0.9559000000000049,0
442,-76.5,0.9558000000000049,1
443,-58.5,0.9557000000000049,1
444,-144.5,0.9556000000000049,1
445,-135.5,0.9555000000000049,0
446,-148.5,0.9554000000000049,0
447,-22.5,0.9553000000000049,1
448,-177.0,0.9552000000000049,0
449,-45.5,0.955100000000005,1
450,-29.5,0.955000000000005,1
451,-41.5,0.954900000000005,1
452,-35.0,0.954800000000005,1
453,-42.0,0.954700000000005,1
454,-114.5,0.954600000000005,0
455,-100.5,0.954500000000005,1
456,-76.0,0.954400000000005,1
457,-150.5,0.954300000000005,0
458,-94.0,0.954200000000005,1
459,-133.0,0.954100000000005,0
460,-46.5,0.9540000000000051,1
461,-138.5,0.9539000000000051,0
462,-40.5,0.9538000000000051,1
463,-97.5,0.9537000000000051,1
464,-45.0,0.9536000000000051,1
465,-67.5,0.9535000000000051,1
466,-74.5,0.9534000000000051,1
467,-165.0,0.9533000000000051,0
468,-137.0,0.9532000000000052,0
469,-150.0,0.9531000000000052,0
470,-107.5,0.9530000000000052,1
471,-53.5,0.9529000000000052,1
472,-71.5,0.9528000000000052,1
473,-176.0,0.9527000000000052,0
474,-126.5,0.9526000000000052,0
475,-212.0,0.9525000000000052,0
476,-138.5,0.9524000000000052,0
477,-150.0,0.9523000000000053,1
478,-148.0,0.9522000000000053,0
479,-68.5,0.9521000000000053,1
480,-125.0,0.9520000000000053,0
481,-186.5,0.9519000000000053,0
482,-200.0,0.9518000000000053,0
483,-162.5,0.9517000000000053,0
484,-129.0,0.9516000000000053,1
485,-113.0,0.9515000000000053,1
486,-147.5,0.9514000000000054,0
487,-124.5,0.9513000000000054,0
488,-97.5,0.9512000000000054,1
489,-139.0,0.9511000000000054,0
490,-190.5,0.9510000000000054,0
491,-177.5,0.9509000000000054,1
492,-147.0,0.9508000000000054,0
493,-53.5,0.9507000000000054,1
494,-138.0,0.9506000000000054,0
495,-93.0,0.9505000000000055,1
496,-261.0,0.9504000000000055,0
497,-126.0,0.9503000000000055,0
