episode,reward,epsilon,done
0,-17.0,1.0,0
1,-20.0,0.9999,0
2,-9.0,0.9998,1
3,-7.5,0.9997,0
4,-3.0,0.9996,1
5,-11.5,0.9995,0
6,-12.0,0.9994000000000001,0
7,-0.5,0.9993000000000001,1
8,-11.0,0.9992000000000001,0
9,-11.0,0.9991000000000001,0
10,-20.0,0.9990000000000001,0
11,-18.5,0.9989000000000001,0
12,-10.5,0.9988000000000001,0
13,-14.0,0.9987000000000001,0
14,-7.0,0.9986000000000002,0
15,-9.5,0.9985000000000002,0
16,-7.5,0.9984000000000002,0
17,-10.0,0.9983000000000002,0
18,-5.0,0.9982000000000002,1
19,-10.5,0.9981000000000002,0
20,-18.5,0.9980000000000002,0
21,-7.5,0.9979000000000002,0
22,-18.5,0.9978000000000002,0
23,-5.0,0.9977000000000003,1
24,-3.5,0.9976000000000003,1
25,-8.0,0.9975000000000003,0
26,-0.5,0.9974000000000003,1
27,-8.0,0.9973000000000003,1
28,-15.5,0.9972000000000003,0
29,-15.5,0.9971000000000003,0
30,-16.5,0.9970000000000003,0
31,-4.5,0.9969000000000003,0
32,-12.0,0.9968000000000004,0
33,-8.5,0.9967000000000004,0
34,-3.5,0.9966000000000004,1
35,-12.5,0.9965000000000004,0
36,-9.5,0.9964000000000004,0
37,0.5,0.9963000000000004,1
38,-8.5,0.9962000000000004,0
39,-11.5,0.9961000000000004,0
40,-7.0,0.9960000000000004,0
41,-1.0,0.9959000000000005,1
42,-1.0,0.9958000000000005,1
43,-4.5,0.9957000000000005,1
44,-15.5,0.9956000000000005,0
45,-7.5,0.9955000000000005,0
46,-15.0,0.9954000000000005,0
47,-12.5,0.9953000000000005,0
48,-17.5,0.9952000000000005,0
49,-21.5,0.9951000000000005,0
50,-12.5,0.9950000000000006,0
51,-12.0,0.9949000000000006,0
52,-18.5,0.9948000000000006,0
53,0.5,0.9947000000000006,1
54,-10.0,0.9946000000000006,0
55,-24.0,0.9945000000000006,0
56,-14.0,0.9944000000000006,0
57,-2.5,0.9943000000000006,1
58,-10.0,0.9942000000000006,0
59,-9.5,0.9941000000000006,0
60,-6.5,0.9940000000000007,0
61,-17.5,0.9939000000000007,0
62,-3.5,0.9938000000000007,1
63,-12.0,0.9937000000000007,0
64,-13.0,0.9936000000000007,1
65,-1.5,0.9935000000000007,1
66,-9.5,0.9934000000000007,0
67,-13.5,0.9933000000000007,0
68,-12.5,0.9932000000000007,0
69,-10.5,0.9931000000000008,0
70,-7.0,0.9930000000000008,0
71,-10.5,0.9929000000000008,0
72,-12.0,0.9928000000000008,0
73,-7.5,0.9927000000000008,0
74,-11.5,0.9926000000000008,0
75,-18.0,0.9925000000000008,0
76,-11.0,0.9924000000000008,0
77,-8.0,0.9923000000000008,0
78,-19.5,0.9922000000000009,0
79,-9.5,0.9921000000000009,0
80,0.0,0.9920000000000009,1
81,-5.5,0.9919000000000009,0
82,-5.0,0.9918000000000009,0
83,-12.5,0.9917000000000009,0
84,-14.0,0.9916000000000009,0
85,-19.0,0.9915000000000009,0
86,-3.0,0.991400000000001,1
87,-16.0,0.991300000000001,0
88,-8.0,0.991200000000001,1
89,-16.5,0.991100000000001,0
90,-1.5,0.991000000000001,1
91,-13.5,0.990900000000001,0
92,-5.5,0.990800000000001,0
93,-9.5,0.990700000000001,0
94,-14.0,0.990600000000001,0
95,-11.0,0.990500000000001,0
96,-10.5,0.9904000000000011,0
97,-6.0,0.9903000000000011,0
98,-2.5,0.9902000000000011,0
99,-10.0,0.9901000000000011,0
100,-14.0,0.9900000000000011,0
101,-3.5,0.9899000000000011,1
102,-9.5,0.9898000000000011,0
103,-9.0,0.9897000000000011,0
104,-6.5,0.9896000000000011,0
105,-11.5,0.9895000000000012,0
106,-15.5,0.9894000000000012,0
107,-10.0,0.9893000000000012,0
108,-13.5,0.9892000000000012,0
109,-16.5,0.9891000000000012,0
110,-18.0,0.9890000000000012,0
111,-9.0,0.9889000000000012,0
112,-9.5,0.9888000000000012,0
113,-10.5,0.9887000000000012,0
114,-11.0,0.9886000000000013,0
115,-3.5,0.9885000000000013,1
116,-1.5,0.9884000000000013,1
117,-9.5,0.9883000000000013,0
118,-6.5,0.9882000000000013,0
119,-9.5,0.9881000000000013,0
120,-6.5,0.9880000000000013,0
121,-16.5,0.9879000000000013,0
122,-6.0,0.9878000000000013,1
123,-10.5,0.9877000000000014,0
124,-18.0,0.9876000000000014,0
125,-6.5,0.9875000000000014,0
126,-19.5,0.9874000000000014,0
127,-7.0,0.9873000000000014,0
128,-12.5,0.9872000000000014,0
129,-26.0,0.9871000000000014,0
130,-10.5,0.9870000000000014,0
131,-5.0,0.9869000000000014,0
132,-10.0,0.9868000000000015,0
133,-10.0,0.9867000000000015,0
134,-16.5,0.9866000000000015,0
135,-12.0,0.9865000000000015,0
136,-7.0,0.9864000000000015,1
137,-16.0,0.9863000000000015,0
138,-13.5,0.9862000000000015,0
139,-14.5,0.9861000000000015,0
140,-14.5,0.9860000000000015,0
141,-8.5,0.9859000000000016,0
142,-17.5,0.9858000000000016,0
143,-10.0,0.9857000000000016,0
144,-13.0,0.9856000000000016,0
145,-10.0,0.9855000000000016,0
146,-9.5,0.9854000000000016,0
147,-15.5,0.9853000000000016,0
148,-16.5,0.9852000000000016,0
149,-6.5,0.9851000000000016,0
150,-12.0,0.9850000000000017,0
151,-9.5,0.9849000000000017,0
152,-10.5,0.9848000000000017,0
153,-11.5,0.9847000000000017,0
154,-10.5,0.9846000000000017,0
155,-6.0,0.9845000000000017,1
156,-9.0,0.9844000000000017,0
157,-16.5,0.9843000000000017,0
158,-8.5,0.9842000000000017,0
159,-4.5,0.9841000000000018,0
160,-7.0,0.9840000000000018,0
161,-14.5,0.9839000000000018,0
162,-1.5,0.9838000000000018,1
163,-1.0,0.9837000000000018,1
164,-5.0,0.9836000000000018,1
165,-1.5,0.9835000000000018,1
